,en,zh-Hans,ja,en-GB,de,fr,en-CA,en-AU,ko,pt-BR,hi,ru,it,es-ES,es-MX,nl,tr,zh-Hant,sv,de-CH,th,id,zh-HK,vi,fil
AI Model,AI Model,人工智能模型,AIモデル,AI Model,KI-Modell,Modèle d'IA,AI Model,AI Model,AI 모델,Modelo de IA,एआई मॉडल,Модель ИИ,Modello di intelligenza artificiale,Modelo de IA,Modelo de IA,AI-model,Yapay Zeka Modeli,人工智慧模型,AI-modell,KI-Modell,โมเดลเอไอ,Model AI,人工智慧模型,Mô hình AI,Modelo ng AI
All Profiles,All Profiles,所有配置文件,すべてのプロファイル,All Profiles,Alle Profile,Tous les profils,All Profiles,All Profiles,모든 프로필,Todos os perfis,सभी प्रोफाइल,Все профили,Tutti i profili,Todos los perfiles,Todos los perfiles,Alle profielen,Tüm Profiller,所有設定檔,Alla profiler,Alle Profile,โปรไฟล์ทั้งหมด,Semua Profil,所有設定檔,Tất cả hồ sơ,Lahat ng Profile
Are you sure you want to delete this item?,Are you sure you want to delete this item?,您确定要删除该项目吗？,この項目を削除してもよろしいですか?,Are you sure you want to delete this item?,"Sind Sie sicher, dass Sie dieses Element löschen möchten?",Êtes-vous sûr de vouloir supprimer cet élément ?,Are you sure you want to delete this item?,Are you sure you want to delete this item?,이 항목을 삭제하시겠습니까?,Tem certeza de que deseja excluir este item?,क्या आप सुनिश्चित रूप से इस आइटम को मिटाना चाहते हैं?,"Вы уверены, что хотите удалить этот элемент?",Sei sicuro di voler eliminare questo elemento?,¿Está seguro de que desea eliminar este elemento?,¿Está seguro de que desea eliminar este elemento?,Weet u zeker dat u dit item wilt verwijderen?,Bu öğeyi silmek istediğinizden emin misiniz?,您確定要刪除該項目嗎？,Är du säker på att du vill ta bort det här objektet?,"Sind Sie sicher, dass Sie dieses Element löschen möchten?",คุณแน่ใจหรือไม่ว่าต้องการลบรายการนี้?,Apakah Anda yakin ingin menghapus item ini?,您確定要刪除該項目嗎？,Bạn có chắc chắn muốn xóa mục này?,Sigurado ka bang gusto mong tanggalin ang item na ito?
Cancel,Cancel,取消,キャンセル,Cancel,Stornieren,Annuler,Cancel,Cancel,취소,Cancelar,रद्द करना,Отмена,Cancellare,Cancelar,Cancelar,Annuleren,İptal etmek,取消,Avboka,Stornieren,ยกเลิก,Membatalkan,取消,Hủy bỏ,Kanselahin
Cover Letter,Cover Letter,求职信,カバーレター,Cover Letter,Motivationsschreiben,Lettre de motivation,Cover Letter,Cover Letter,자기 소개서,Carta de apresentação,कवर लेटर,Сопроводительное письмо,Lettera di presentazione,Carta de presentación,Carta de presentación,Sollicitatiebrief,Ön yazı,求職信,Följebrev,Motivationsschreiben,จดหมายปะหน้า,Surat Pengantar,求職信,Thư xin việc,Cover Letter
Create Professional Cover Letters in Seconds,Create Professional Cover Letters in Seconds,在几秒钟内创建专业的求职信,プロフェッショナルなカバーレターを数秒で作成,Create Professional Cover Letters in Seconds,Erstellen Sie in Sekundenschnelle professionelle Anschreiben,Créez des lettres de motivation professionnelles en quelques secondes,Create Professional Cover Letters in Seconds,Create Professional Cover Letters in Seconds,단 몇 초 만에 전문적인 커버레터 작성,Crie cartas de apresentação profissionais em segundos,सेकंडों में व्यावसायिक कवर लेटर बनाएं,Создавайте профессиональные сопроводительные письма за считанные секунды,Crea lettere di accompagnamento professionali in pochi secondi,Cree cartas de presentación profesionales en segundos,Cree cartas de presentación profesionales en segundos,Creëer binnen enkele seconden professionele sollicitatiebrieven,Saniyeler İçinde Profesyonel Kapak Mektupları Oluşturun,在幾秒鐘內創建專業的求職信,Skapa professionella följebrev på några sekunder,Erstellen Sie in Sekundenschnelle professionelle Anschreiben,สร้างจดหมายสมัครงานแบบมืออาชีพในไม่กี่วินาที,Buat Surat Pengantar Profesional dalam Hitungan Detik,在幾秒鐘內創建專業的求職信,Tạo thư xin việc chuyên nghiệp trong vài giây,Gumawa ng Mga Propesyonal na Cover Letter sa Ilang Segundo
Create personalized cover letters with just a few clicks. Get started now!,Create personalized cover letters with just a few clicks. Get started now!,只需点击几下即可创建个性化求职信。现在就开始吧！,数回クリックするだけで、パーソナライズされたカバーレターを作成できます。今すぐ始めましょう！,Create personalized cover letters with just a few clicks. Get started now!,Erstellen Sie mit nur wenigen Klicks personalisierte Anschreiben. Legen Sie jetzt los!,Créez des lettres de motivation personnalisées en quelques clics. Commencez maintenant !,Create personalized cover letters with just a few clicks. Get started now!,Create personalized cover letters with just a few clicks. Get started now!,단 몇 번의 클릭만으로 나만의 자기소개서를 만들어보세요. 지금 시작하세요!,Crie cartas de apresentação personalizadas com apenas alguns cliques. Comece agora!,बस कुछ ही क्लिक के साथ वैयक्तिकृत कवर लेटर बनाएं। अब शुरू हो जाओ!,Создавайте персонализированные сопроводительные письма всего за несколько кликов. Начните прямо сейчас!,Crea lettere di accompagnamento personalizzate con pochi clic. Inizia ora!,Crea cartas de presentación personalizadas con solo unos pocos clics. ¡Empiece ahora!,Crea cartas de presentación personalizadas con solo unos pocos clics. ¡Empiece ahora!,Creëer gepersonaliseerde sollicitatiebrieven met slechts een paar klikken. Ga nu aan de slag!,Yalnızca birkaç tıklamayla kişiselleştirilmiş kapak mektupları oluşturun. Şimdi başlayın!,只需點擊幾下即可建立個人化求職信。現在就開始吧！,Skapa personliga följebrev med bara några få klick. Kom igång nu!,Erstellen Sie mit nur wenigen Klicks personalisierte Anschreiben. Legen Sie jetzt los!,สร้างจดหมายปะหน้าส่วนบุคคลด้วยการคลิกเพียงไม่กี่ครั้ง เริ่มต้นทันที!,Buat surat pengantar yang dipersonalisasi hanya dengan beberapa klik. Mulailah sekarang!,只需點擊幾下即可建立個人化求職信。現在就開始吧！,Tạo thư xin việc được cá nhân hóa chỉ bằng vài cú nhấp chuột. Bắt đầu ngay bây giờ!,Gumawa ng mga personalized na cover letter sa ilang pag-click lang. Magsimula na ngayon!
Delete,Delete,删除,消去,Delete,Löschen,Supprimer,Delete,Delete,삭제,Excluir,मिटाना,Удалить,Eliminare,Borrar,Borrar,Verwijderen,Silmek,刪除,Radera,Löschen,ลบ,Menghapus,刪除,Xóa bỏ,Tanggalin
Explore,Explore,探索,探検する,Explore,Erkunden,Explorer,Explore,Explore,탐구하다,Explorar,अन्वेषण करना,Исследовать,Esplorare,Explorar,Explorar,Ontdekken,Keşfetmek,探索,Utforska,Erkunden,สำรวจ,Mengeksplorasi,探索,Khám phá,Galugarin
FINALLY,FINALLY,最后,ついに,FINALLY,ENDLICH,ENFIN,FINALLY,FINALLY,마지막으로,FINALMENTE,अंत में,ОКОНЧАТЕЛЬНО,FINALMENTE,FINALMENTE,FINALMENTE,EINDELIJK,NİHAYET,最後,SLUTLIGEN,ENDLICH,ในที่สุด,AKHIRNYA,最後,CUỐI CÙNG,SA WAKAS
Get Started,Get Started,开始使用,始めましょう,Get Started,Legen Sie los,Commencer,Get Started,Get Started,시작하기,Comece,शुरू हो जाओ,Начать,Inizia,Empezar,Empezar,Aan de slag,Başlayın,開始使用,Kom igång,Legen Sie los,เริ่มต้นเลย,Memulai,開始使用,Bắt đầu,Magsimula
Key,Key,钥匙,鍵,Key,Schlüssel,Clé,Key,Key,열쇠,Chave,चाबी,Ключ,Chiave,Llave,Llave,Sleutel,Anahtar,鑰匙,Nyckel,Schlüssel,สำคัญ,Kunci,鑰匙,Chìa khóa,Susi
Language,Language,语言,言語,Language,Sprache,Langue,Language,Language,언어,Linguagem,भाषा,Язык,Lingua,Idioma,Idioma,Taal,Dil,語言,Språk,Sprache,ภาษา,Bahasa,語言,Ngôn ngữ,Wika
Others,Others,其他的,その他,Others,Andere,Autres,Others,Others,기타,Outros,अन्य,Другие,Altri,Otros,Otros,Anderen,Diğerleri,其他的,Andra,Andere,คนอื่น,Yang lain,其他的,Người khác,Ang iba
Profile,Profile,轮廓,プロフィール,Profile,Profil,Profil,Profile,Profile,윤곽,Perfil,प्रोफ़ाइल,Профиль,Profilo,Perfil,Perfil,Profiel,Profil,輪廓,Profil,Profil,ประวัติโดยย่อ,Profil,輪廓,Hồ sơ,Profile
Profiles,Profiles,型材,プロフィール,Profiles,Profile,Profils,Profiles,Profiles,프로필,Perfis,प्रोफाइल,Профили,Profili,Perfiles,Perfiles,Profielen,Profiller,型材,Profiler,Profile,โปรไฟล์,Profil,型材,Hồ sơ,Mga profile
Sign up,Sign up,报名,サインアップ,Sign up,Melden Sie sich an,S'inscrire,Sign up,Sign up,가입,Inscrever-se,साइन अप करें,Зарегистрироваться,Iscrizione,Inscribirse,Inscribirse,Schrijf je in,Üye olmak,報名,Anmäl dig,Melden Sie sich an,ลงทะเบียน,Mendaftar,報名,Đăng ký,Mag-sign up